Status,IPAddress,Progress,Duration (in seconds),Finished,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,consent,gender,age,race,ethnicity,educ,marstat,employstat,income,pid7,ideo5,religion,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,monitor1,monitor2,monitor3,attention1,imm1,imm2,imm3,govtrust1,govtrust2,govtrust3,electiontrust1,electiontrust2,electiontrust3,votesconf1,votesconf2,attention2,vf_thoughts,vf_happens,vf_white_collar,vf_elect2020,attention3,vf_problem,vf_concern,vf_solutions,vf_solutions_9_TEXT,irr1,1_select1,2_select1,3_select1,4_select1,5_select1,6_select1,7_select1,8_select1,9_select1,10_select1,irr2,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
IP Address,174.240.240.5,100,903,TRUE,R_2t47i6tvP9gFbXP,,,,,41.7742,-87.6711,anonymous,EN,0.899999976,4.402,6.989,7.501,3,"Yes, I consent",Male,35 - 44,White,Yes,High school degree or equivalent (e.g. GED),"Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$60,000 - $69,999",Strong Republican,Liberal,Protestant,95,96,100,98,92,Once in a while,Fair,Once in a while,CORRECT,Decreased a little,Increased a little,Somewhat likely,A little,Run by a few big interests,Most,A little accurately,A little,Rarely,Somewhat confident,Somewhat unconfident,CORRECT,I think of people going out of their way to sway results that will result in negative consequences ,I think people use others identities other than their own.,Yes,A moderate amount,CORRECT,A moderate amount,Only in closely contested elections,Secure voting systems,,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Male,Female,College degree,High school diploma,Less than high school,Germany,Germany,Germany,Germany,Germany,Germany,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,67.6.171.54,100,711,TRUE,R_1IY0GfGqFGZR2o6,,,,,38.6619,-90.8459,anonymous,EN,1,2.331,3.431,4.301,2,"Yes, I consent",Female,55 - 64,White,No,"Master's degree (e.g. MA, MS, MEd)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$60,000 - $69,999",Strong Republican,Very Conservative,Protestant,75,50,40,60,29,Never,Very Poor,Never,CORRECT,Decreased a lot,Increased a lot,Extremely likely,A little,Run by a few big interests,Most,Not at all accurately,A moderate amount,Rarely,Somewhat confident,Unconfident,CORRECT,I believe it is caused by individuals who have been paid to influence an election. ,"Casting multiple ballots, voting on behalf of a deceased individual, and by stealing and withholding ballots.",Yes,A lot,CORRECT,A lot,Only when there is concrete evidence of widespread voter fraud,Incarcerate individuals guilty of committing voter fraud,,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Female,Female,High school diploma,High school diploma,Less than high school,Syria,Syria,Syria,Syria,Syria,Syria,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,68.101.153.254,100,722,TRUE,R_14JcugIlvANWqOL,,,,,32.8466,-116.977,anonymous,EN,1,1.548,6.935,8.422,9,"Yes, I consent",Female,25 - 34,White,Yes,"Bachelor's degree (e.g. BA, BS)",Single (never married),Employed full time (30 or more hours per week),"Over $100,000",Strong Republican,Conservative,Roman Catholic,93,77,37,30,2,Once in a while,Good,About half the time,CORRECT,Decreased a lot,Increased a lot,Neither likely nor unlikely,Not at all,Run by a few big interests,Most,A little accurately,Not at all,Rarely,Somewhat unconfident,Somewhat confident,CORRECT,"I think those people are selfish and hard headed, it , makes no sense,","Dead people voting and a lot of votes not being counted,",No,A lot,CORRECT,A lot,Only in closely contested elections,Stricter voter identification requirements and verification,,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Male,Female,College degree,College degree,High school diploma,Germany,Germany,Germany,Germany,Germany,Germany,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,23.29.32.6,100,1870,TRUE,R_1Kxb0y8FiG8vlud,,,,,38.9523,-94.7395,anonymous,EN,1,0.615,6.298,7.387,4,"Yes, I consent",Female,25 - 34,White,No,"Associate degree (e.g. AA, AS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$80,000 - $89,999",Strong Democrat,Very Liberal,Nothing in particular,58,85,85,82,80,Once in a while,Poor,Once in a while,CORRECT,Increased a little,Decreased a lot,Somewhat likely,A little,Run by a few big interests,About half,Very accurately,A moderate amount,Occasionally,Somewhat confident,Somewhat confident,CORRECT,I think about how common it is and what kind of circumstances surround fraud actually happening. ,I think it’s possible people cast votes for relatives that are deceased via mail in vote. ,Yes,A little,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Non-partisan commissions that oversee elections,,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Male,Male,College degree,College degree,High school diploma,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,74.65.35.63,100,485,TRUE,R_2VpVnET1bS5kek8,,,,,43.3195,-76.4178,anonymous,EN,0.899999976,0.661,5.506,6.634,2,"Yes, I consent",Male,35 - 44,White,No,"Some college, no degree",Single (never married),Self-employed,"$30,000 - $39,999",Not very strong Republican,Conservative,Nothing in particular,100,100,100,100,25,Never,Fair,Never,New York,Decreased a lot,Decreased a lot,Somewhat likely,Not at all,Run by a few big interests,Most,Not at all accurately,Not at all,Occasionally,Unconfident,Unconfident,Somewhat unconfident,I think about Joe Biden winning the election in 2020,I think states misplace votes in order to protect their prerogative.,Yes,A lot,Not at all,A lot,Only when there is concrete evidence of widespread voter fraud,Secure voting systems,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Female,Female,Less than high school,College degree,High school diploma,China,China,China,China,China,China,Fluent English,Fluent English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,174.54.34.108,100,834,TRUE,R_746qXztq8eTfNWm,,,,,40.1025,-76.0761,anonymous,EN,1,11.835,11.835,18.901,1,"Yes, I consent",Female,35 - 44,White,No,"Associate degree (e.g. AA, AS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$80,000 - $89,999",Not very strong Republican,Conservative,Protestant,80,50,80,80,50,About half the time,Fair,About half the time,CORRECT,Decreased a lot,Increased a lot,Somewhat unlikely,Not at all,Run by a few big interests,Most,Not at all accurately,A moderate amount,Rarely,Unconfident,Unconfident,CORRECT,"Falses ballots, especially mail- in ballots. Ballot harvesting in cities where votes are a majority democrat. Vote counters counting inaccurately. ",Voter fraud happens when people vote more than 1 time. People harvest ballots in democratic areas. Illegal immigrants vote. False ballots are submitted. ,Yes,A lot,CORRECT,A lot,"Always, even when there is no evidence",Non-partisan commissions that oversee elections,,Profile 2,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Female,Female,Less than high school,Less than high school,High school diploma,USA,USA,USA,USA,USA,USA,fluent English,fluent English,Prior conviction (not voting related),No prior conviction,Yes,Yes
IP Address,174.101.139.14,100,1055,TRUE,R_7LwzJhYDJAbluve,,,,,39.139,-84.4296,anonymous,EN,0.899999976,20.138,20.138,21.446,1,"Yes, I consent",Male,45 - 54,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Self-employed,"$30,000 - $39,999",Not very strong Democrat,Liberal,Atheist,80,80,80,80,80,Never,Poor,Once in a while,CORRECT,Increased a little,Decreased a little,Extremely unlikely,A little,For the benefit of all people,About half,Very accurately,A lot,Rarely,Very confident,Very confident,CORRECT,The idea of voter fraud can be a political stunt to whip up people's fears that an election is rigged if it doesn't go someones way. ,There are many checks and balances in place that voter fraud is very rare.,No,Not at all,CORRECT,Not at all,Only when there is concrete evidence of widespread voter fraud,Educating voters about the voting process,,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Male,Male,Less than high school,Less than high school,College degree,Syria,Syria,Syria,Syria,Syria,Syria,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,No,No
IP Address,172.56.200.231,100,654,TRUE,R_2qeLKA4eIBieCIN,,,,,47.6034,-122.3414,anonymous,EN,0.899999976,5.899,27.159,27.949,3,"Yes, I consent",Male,55 - 64,White,No,"Some college, no degree",Single (never married),Unable to work,"Less than $19,999",Strong Democrat,Very Liberal,Atheist,80,84,81,84,85,Once in a while,Fair,About half the time,CORRECT,Kept the same as it is now,Kept the same as it is now,Extremely unlikely,A moderate amount,Run by a few big interests,About half,Very accurately,A lot,Rarely,Very confident,Somewhat confident,CORRECT,"Voter fraud on a large scale enough to affect an election has never existed.  Voter suppression, however, does.",Typically individuals here and there who think they’ve doing something special for their candidate when they don’t realize it’d take tens of thousands of people to vote similarly in order to have such an intended outcome.,Yes,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Male,Female,Less than high school,College degree,High school diploma,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,76.174.145.212,100,1759,TRUE,R_1j0aIIE9GsVBMSg,,,,,34.1712,-118.5186,anonymous,EN,0.800000012,7.281,7.281,8.129,1,"Yes, I consent",Female,45 - 54,Asian,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Independent,Moderate,Nothing in particular,90,90,90,90,90,Never,Good,Never,CORRECT,Decreased a little,Increased a little,Neither likely nor unlikely,A little,Run by a few big interests,Most,A little accurately,A little,Rarely,Somewhat confident,Neither confident or unconfident,Unconfident,"It can happen. Voting is run by human beings, of course fraud is something that could potentially happen.",People with money can buy votes.,Yes,A little,CORRECT,A moderate amount,"Always, even when there is no evidence",Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Female,Female,High school diploma,Less than high school,High school diploma,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Fluent English,Fluent English,Prior conviction (not voting related),No prior conviction,No,No
IP Address,66.25.40.80,100,402,TRUE,R_76acXnWmkDCtrz3,,,,,32.9887,-95.94,anonymous,EN,0.899999976,0.697,2.403,3.307,3,"Yes, I consent",Male,25 - 34,White,No,High school degree or equivalent (e.g. GED),Single (never married),Employed full time (30 or more hours per week),"$40,000 - $49,999",Strong Republican,Very Conservative,Atheist,85,10,45,70,40,Once in a while,Poor,Once in a while,CORRECT,Decreased a lot,Increased a lot,Extremely likely,Not at all,Run by a few big interests,Most,Not at all accurately,Not at all,Rarely,Unconfident,Unconfident,CORRECT,I think about election officials tossing out valid ballots; I think about the government sending mass mail-in ballots unsolicited which makes things rive for fraud because there is no chain of custody for the ballots.,"Election officials throwing out valid votes for one candidate due to arbitrary and subjective reasons; e.g. they don't like the signature or a bubble was filled in with the wrong color or something, anything to excuse throwing it out.",Yes,A lot,CORRECT,A lot,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Female,Male,High school diploma,College degree,High school diploma,Germany,Germany,Germany,Germany,Germany,Germany,Broken English,Broken English,No prior conviction,No prior conviction,Yes,Yes
IP Address,174.228.66.15,100,985,TRUE,R_1ibyeR1ptwp7Tj4,,,,,41.8883,-87.7613,anonymous,EN,0.899999976,7.378,17.777,21.999,4,"Yes, I consent",Female,35 - 44,White,No,High school degree or equivalent (e.g. GED),"Married, or in a domestic partnership",Employed full time (30 or more hours per week),"$60,000 - $69,999",Strong Republican,Very Liberal,Nothing in particular,92,92,92,94,83,Once in a while,Very Poor,Once in a while,CORRECT,Decreased a lot,Increased a lot,Extremely likely,Not at all,Run by a few big interests,All,Moderately accurately,A little,Occasionally,Unconfident,Unconfident,CORRECT,I think it’s very wrong to commit voter fraud and very selfish.,They steal ballots from the mail or used deceased persons information.,Yes,Somewhat,CORRECT,Somewhat,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Male,Female,College degree,College degree,Less than high school,Germany,Germany,Germany,Germany,Germany,Germany,Fluent English,Fluent English,No prior conviction,No prior conviction,No,No
IP Address,172.58.129.36,100,836,TRUE,R_7DzF1SVNa6cVlxN,,,,,25.8538,-80.2069,anonymous,EN,0.899999976,2.411,5.482,6.727,5,"Yes, I consent",Male,25 - 34,White,No,"Some college, no degree",Single (never married),Employed full time (30 or more hours per week),"$50,000 - $59,999",Independent,Very Liberal,Atheist,50,50,50,50,50,Never,Poor,Most of the time,Florida,Kept the same as it is now,Kept the same as it is now,Neither likely nor unlikely,A moderate amount,Run by a few big interests,Most,Completely accurately,A great deal,Fairly often,Very confident,Very confident,CORRECT,That it is a scapegoat Republicans use to excuse their losses in legit elections.,I do not think voter fraud is a real issue that happens often enough to affect elections.,No,Not at all,Not at all,Not at all,Only when there is concrete evidence of widespread voter fraud,Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Male,Male,College degree,Less than high school,College degree,USA,USA,USA,USA,USA,USA,fluent English,fluent English,Prior conviction (not voting related),Prior conviction (not voting related),Yes,Yes
IP Address,172.59.168.216,100,1296,TRUE,R_7pflss5HpnvQM79,,,,,38.7059,-90.3078,anonymous,EN,0.899999976,1.274,3.538,4.7,6,"Yes, I consent",Male,35 - 44,White,No,High school degree or equivalent (e.g. GED),Single (never married),Unemployed,"Less than $19,999",Lean Democrat,Liberal,Nothing in particular,60,85,80,85,50,Once in a while,Fair,Once in a while,CORRECT,Kept the same as it is now,Increased a little,Somewhat likely,A moderate amount,For the benefit of all people,About half,Completely accurately,A lot,Occasionally,Very confident,Very confident,CORRECT,Voter fraud involves casting more than one ballot/vote per person. It's knowingly dishonest and intentional.,Voter fraud happens when people vote in more than one precinct or vote on behalf of someone else.,No,Not at all,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Non-partisan commissions that oversee elections,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 2,Male,Female,High school diploma,High school diploma,College degree,Syria,Syria,Syria,Syria,Syria,Syria,Fluent English,Fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,68.96.91.230,100,495,TRUE,R_248Xv70bQKGlZry,,,,,33.5157,-117.7109,anonymous,EN,1,5.86,5.86,7.288,1,"Yes, I consent",Female,25 - 34,White,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Employed full time (30 or more hours per week),"$80,000 - $89,999",Lean Republican,Conservative,Protestant,80,80,80,82,75,Once in a while,Fair,About half the time,CORRECT,Kept the same as it is now,Increased a lot,Somewhat likely,A moderate amount,Run by a few big interests,About half,Very accurately,A lot,Never,Somewhat confident,Neither confident or unconfident,CORRECT,I think that there are definitely people who are willing to commit voter fraud to help their candidate win. I wish we had more transparency into the processes being used to stop voter fraud.,"I think it probably effects up to 5% of the vote. I don't think it's rampant, but I don't think it's 0%.",No,A little,CORRECT,A little,Only in closely contested elections,Stricter voter identification requirements and verification,,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Male,Male,College degree,College degree,College degree,Syria,Syria,Syria,Syria,Syria,Syria,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),No,No
IP Address,71.74.248.45,100,1116,TRUE,R_7rMtrzSR3NzrTd7,,,,,41.6325,-81.4034,anonymous,EN,0.899999976,6.557,6.557,7.379,1,"Yes, I consent",Male,45 - 54,White,No,"Master's degree (e.g. MA, MS, MEd)",Divorced,Employed full time (30 or more hours per week),"$40,000 - $49,999",Not very strong Democrat,Liberal,Agnostic,53,80,85,91,84,Once in a while,Fair,Once in a while,Ohio,Increased a little,Decreased a little,Somewhat unlikely,Not at all,Run by a few big interests,Most,Completely accurately,A great deal,Occasionally,Very confident,Very confident,CORRECT,It simply doesn't happen. Study after study has shown it doesn't happen. It's fear mongering invented by Trump. Perion. ,I don't think it does. How would you?,No,Not at all,A moderate amount,Not at all,Only when there is concrete evidence of widespread voter fraud,Incarcerate individuals guilty of committing voter fraud,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Male,Female,High school diploma,High school diploma,College degree,USA,USA,USA,USA,USA,USA,fluent English,fluent English,Prior conviction (not voting related),No prior conviction,Yes,Yes
IP Address,108.230.171.129,100,838,TRUE,R_3VEfKZe3ZR7s0yG,,,,,38.5491,-90.1601,anonymous,EN,0.899999976,5.692,5.692,6.784,1,"Yes, I consent",Male,65 or older,White,No,"Bachelor's degree (e.g. BA, BS)","Married, or in a domestic partnership",Retired,"$20,000 - $29,999",Not very strong Republican,Conservative,Protestant,92,87,90,92,75,Never,Poor,Never,CORRECT,Decreased a lot,Increased a lot,Somewhat likely,A little,Run by a few big interests,About half,Very accurately,A moderate amount,Occasionally,Somewhat confident,Neither confident or unconfident,CORRECT,I think it is a shame and mainly happens as a result of corrupt politicians influencing people to cast fraudulent votes.,I think it is caused from people being bribed to vote for a certain candidate or on certain party lines.,No,Somewhat,CORRECT,A moderate amount,"Always, even when there is no evidence",Non-partisan commissions that oversee elections,,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Male,Male,High school diploma,High school diploma,High school diploma,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,50.49.217.76,100,685,TRUE,R_21uDOB4g7r9stBF,,,,,41.4535,-74.4774,anonymous,EN,1,4.059,4.059,4.98,1,"Yes, I consent",Male,35 - 44,White,No,High school degree or equivalent (e.g. GED),Single (never married),Employed full time (30 or more hours per week),"$20,000 - $29,999",Independent,Moderate,Agnostic,100,100,100,100,100,Once in a while,Fair,Once in a while,New York,Increased a lot,Increased a little,Extremely unlikely,Not at all,Run by a few big interests,Most,Very accurately,Not at all,Rarely,Somewhat confident,Somewhat confident,CORRECT,there should be more precautions for this. it should be all done online,multiple people make votes for people that have died or are too young (5 years old or younger),Yes,Somewhat,CORRECT,Somewhat,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 1,Profile 1,Profile 2,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Male,Male,High school diploma,High school diploma,Less than high school,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,No prior conviction,No prior conviction,Yes,Yes
IP Address,172.56.148.208,100,867,TRUE,R_5MkITIZXzeeAw37,,,,,43.5784,-116.2179,anonymous,EN,0.899999976,1.788,17.193,17.924,15,"Yes, I consent",Female,35 - 44,White,No,"Some college, no degree",Divorced,Employed part time (29 or less hours per week),"$20,000 - $29,999",Lean Republican,Conservative,Other,75,75,40,75,40,Never,Good,Once in a while,CORRECT,Kept the same as it is now,Increased a lot,Extremely likely,Somewhat,Run by a few big interests,Most,A little accurately,Not at all,Fairly often,Neither confident or unconfident,Neither confident or unconfident,CORRECT,"I feel it’s completely selfish on their part. Not only are they risking themselves being charged with a crime, but they are causing miscalculations of authentic votes from the eligible voters. ","Mail in votes, or in person voting. ",Yes,A lot,CORRECT,A lot,"Always, even when there is no evidence",Fine individuals guilty of committing voter fraud,,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Female,Male,Less than high school,High school diploma,College degree,Germany,Germany,Germany,Germany,Germany,Germany,Fluent English,Fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,158.115.179.154,100,2393,TRUE,R_1PuOsQZ2Yeo7Kt2,,,,,33.6183,-80.2126,anonymous,EN,1,1.817,163.583,164.885,43,"Yes, I consent",Female,65 or older,Black or African American,No,"Some college, no degree","Married, or in a domestic partnership",Employed part time (29 or less hours per week),"$30,000 - $39,999",Not very strong Democrat,Liberal,Protestant,95,98,90,75,90,Once in a while,Fair,About half the time,CORRECT,Kept the same as it is now,Kept the same as it is now,Somewhat likely,Somewhat,Run by a few big interests,Most,Completely accurately,A lot,Occasionally,Somewhat confident,Very confident,CORRECT,That's they are wrong and should be purnest for it ,People working with other voting more than one time ,Yes,Somewhat,CORRECT,A moderate amount,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 1,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Female,Male,College degree,Less than high school,High school diploma,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,73.177.78.253,100,473,TRUE,R_5fcPWwbMgAvgPnH,,,,,35.0324,-89.8145,anonymous,EN,0.899999976,2.92,2.92,3.932,1,"Yes, I consent",Male,18 - 24,Black or African American,No,"Bachelor's degree (e.g. BA, BS)",Single (never married),Employed full time (30 or more hours per week),"Over $100,000",Lean Republican,Moderate,Roman Catholic,70,100,90,90,50,Once in a while,Excellent,Most of the time,CORRECT,Decreased a little,Increased a lot,Somewhat likely,Not at all,Run by a few big interests,Most,Very accurately,A moderate amount,Rarely,Somewhat confident,Neither confident or unconfident,CORRECT,"I think if voter fraud is widespread in a county an audit should be performed. However, I don't think voter fraud is very common.",Typically it probably occurs by human error. There are cases of bad actors though. ,Yes,A little,CORRECT,A little,Only when there is concrete evidence of widespread voter fraud,Stricter voter identification requirements and verification,,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 1,Profile 2,Profile 1,Male,Female,Less than high school,College degree,High school diploma,Germany,Germany,Germany,Germany,Germany,Germany,Broken English,Broken English,No prior conviction,Prior conviction (not voting related),Yes,Yes
IP Address,76.16.115.207,100,588,TRUE,R_3EMbUarTq2eZ70O,,,,,41.5681,-87.1749,anonymous,EN,0.899999976,94.3,94.3,95.063,1,"Yes, I consent",Male,18 - 24,White,No,High school degree or equivalent (e.g. GED),Single (never married),Unemployed,"Over $100,000",Lean Republican,Conservative,Nothing in particular,95,32,80,77,22,Once in a while,Fair,Once in a while,CORRECT,Decreased a lot,Increased a lot,Somewhat likely,Not at all,Run by a few big interests,Most,Not at all accurately,Not at all,Never,Somewhat confident,Somewhat confident,CORRECT,I think about the previous election. There was clear voter fraud.,"Yes, it happened in the last election. There's a documentary on it called The 2000 Mules. ",Yes,A lot,CORRECT,A lot,"Always, even when there is no evidence",Providing public access to election data,,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Female,Female,Less than high school,High school diploma,Less than high school,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,100.4.82.173,100,531,TRUE,R_5rMjzWpafbsu3pU,,,,,36.7969,-76.1797,anonymous,EN,1,6.851,6.851,8.4,1,"Yes, I consent",Male,65 or older,White,No,"Master's degree (e.g. MA, MS, MEd)","Married, or in a domestic partnership",Retired,"Over $100,000",Not very strong Republican,Conservative,Protestant,79,71,78,64,35,Once in a while,Poor,Once in a while,CORRECT,Decreased a little,Increased a little,Somewhat likely,A little,For the benefit of all people,A few,Very accurately,A lot,Rarely,Very confident,Somewhat confident,CORRECT,They are trying to influence the election for one side or the other.,People vote for others with mail in ballots that are sent to homes,No,Not at all,CORRECT,A little,It's not a significant concern,Secure voting systems,,Profile 1,Profile 2,Profile 1,Profile 1,Profile 1,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Female,Male,High school diploma,Less than high school,Less than high school,USA,USA,USA,USA,USA,USA,fluent English,fluent English,No prior conviction,No prior conviction,Yes,Yes
IP Address,47.199.157.121,100,523,TRUE,R_2FeOTepPb2Wqwhj,,,,,27.9623,-81.9375,anonymous,EN,1,4.539,4.539,6.111,1,"Yes, I consent",Female,35 - 44,White,No,"Some college, no degree","Married, or in a domestic partnership",Employed full time (30 or more hours per week),"Over $100,000",Strong Republican,Conservative,Protestant,85,58,60,59,36,Never,Very Poor,Once in a while,CORRECT,Decreased a lot,Increased a lot,Somewhat likely,A little,Run by a few big interests,About half,Moderately accurately,A moderate amount,Occasionally,Somewhat confident,Somewhat confident,CORRECT,I think of felons or illegal aliens.  Both are people that do not have the right to vote.  They know that they shouldn't but they still do.,I think that most voter fraud is through voting by mail.  You can't prove who actually filled out the ballot and stuck someones name on it.  It could have been anybody,Yes,Somewhat,CORRECT,Somewhat,"Always, even when there is no evidence",Stricter voter identification requirements and verification,,Profile 2,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Profile 1,Profile 2,Profile 2,Profile 2,Profile 2,Profile 1,Female,Female,College degree,High school diploma,Less than high school,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),No,No
IP Address,174.110.179.15,100,908,TRUE,R_1O314IFamSNawLv,,,,,34.7523,-79.4566,anonymous,EN,0.899999976,15.624,15.624,16.702,1,"Yes, I consent",Female,45 - 54,White,No,"Some college, no degree",Single (never married),Self-employed,"Less than $19,999",Strong Republican,Very Conservative,Protestant,50,40,50,50,0,Never,Poor,Once in a while,CORRECT,Decreased a lot,Increased a lot,Extremely likely,Not at all,Run by a few big interests,Most,Not at all accurately,Not at all,Occasionally,Unconfident,Unconfident,CORRECT,"It makes me very angry, especially after the last election was stolen due to rampant fraud and cheating.","I know that many, many votes were discarded, and the machines were manipulated to ensure a Democrat victory. ",Yes,A lot,CORRECT,A lot,"Always, even when there is no evidence",Secure voting systems,,Profile 2,Profile 1,Profile 2,Profile 2,Profile 2,Profile 1,Profile 2,Profile 2,Profile 1,Profile 2,Profile 1,Profile 2,Female,Female,College degree,Less than high school,High school diploma,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Broken English,Broken English,Prior conviction (not voting related),Prior conviction (not voting related),No,No
