Progress,Duration (in seconds),DistributionChannel,Q_RecaptchaScore,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,consent,gender,age,race,ethnicity,educ,marstat,employstat,income,pid7,ideo5,religion,religion_important,1_select1,2_select1,3_select1,4_select1,5_select1,6_select1,7_select1,8_select1,9_select1,10_select1,ethnocentrism_1,ethnocentrism_2,ethnocentrism_3,ethnocentrism_4,ethnocentrism_5,monitor1,monitor2,monitor3,imm1,imm2,imm3,govtrust1,govtrust2,govtrust3,govtrust4,electiontrust1,electiontrust2,electiontrust3,choice1_gender1,choice1_gender2,choice1_education1,choice1_education2,choice1_education3,choice1_country1,choice1_country2,choice1_country3,choice1_country4,choice1_country5,choice1_country6,choice1_englishprof1,choice1_englishprof2,choice1_conviction1,choice1_conviction2,choice1_citizen1,choice1_citizen2
100,1741,email,1,13.654,15.32,16.163,2,1,1,1,1,0,3,1,3,7,1,1,9,1,2,2,2,2,2,2,2,1,2,1,90,91,85,89,85,2,4,2,2,4,2,2,1,1,2,2,1,1,Male,Female,college degree,high school diploma,no high school,India,Mexico,Afghanistan,Afghanistan,Germany,Mexico,broken English,fluent English,no prior conviction,no prior conviction,,
100,1344,email,1,3.274,5.728,6.301,3,1,0,1,1,0,3,1,3,10,5,3,10,3,1,2,2,2,2,2,1,1,1,2,100,100,95,100,95,2,4,3,2,4,3,3,2,5,4,4,2,4,Male,Female,college degree,high school diploma,college degree,India,Germany,India,Russia,China,Germany,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,662,email,1,6.544,7.947,8.529,3,1,1,1,1,0,2,1,2,8,4,3,11,1,1,2,2,2,1,1,1,2,2,1,100,100,100,100,100,2,4,2,3,2,4,4,4,4,2,1,1,1,Male,Female,high school diploma,high school diploma,high school diploma,China,India,China,Germany,China,India,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,840,email,1,2.232,4.578,5.471,4,1,0,1,1,0,3,1,3,2,1,1,5,3,1,1,2,1,1,2,1,2,2,1,66,100,100,100,100,2,1,2,1,1,1,5,4,4,5,1,1,1,Female,Female,college degree,college degree,college degree,Russia,Mexico,Afghanistan,Russia,Russia,India,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1414,email,1,2.917,2.917,4.738,1,1,1,1,1,0,2,1,3,10,5,3,11,2,1,1,2,1,1,2,1,1,1,2,95,97,97,97,97,1,2,2,2,4,2,4,2,3,3,3,1,1,Male,Female,high school diploma,high school diploma,college degree,Germany,India,Germany,Germany,Mexico,China,fluent English,broken English,prior conviction (not voting related),no prior conviction,,
100,1657,email,1,1.801,1.801,2.75,1,1,1,1,1,0,3,1,3,1,6,4,2,3,2,2,2,2,1,1,2,2,1,2,52,51,51,50,51,2,2,2,4,4,2,4,2,4,2,3,4,4,Female,Male,college degree,high school diploma,high school diploma,India,Russia,Mexico,India,Mexico,China,fluent English,fluent English,no prior conviction,no prior conviction,,
100,932,email,1,3.078,8.433,9.176,4,1,1,1,1,0,3,1,3,1,1,1,10,3,1,1,2,2,1,1,2,1,1,2,100,100,100,100,100,3,3,3,2,2,2,4,2,4,4,1,2,1,Female,Male,no high school,no high school,college degree,Germany,India,Russia,Germany,Germany,Germany,broken English,fluent English,no prior conviction,no prior conviction,,
100,1451,email,1,1.143,14.263,15.492,5,1,1,1,4,0,2,1,3,6,7,5,2,4,1,2,2,1,2,2,1,1,2,2,95,69,74,87,81,2,2,3,1,5,2,4,3,2,2,2,2,4,Female,Female,no high school,no high school,college degree,Mexico,Afghanistan,Russia,China,Afghanistan,Afghanistan,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,505,email,1,1.497,2.667,3.539,3,1,0,1,4,0,2,1,2,10,1,1,7,3,2,2,2,2,1,2,2,2,2,1,87,100,100,100,100,3,1,3,1,2,1,4,3,4,2,2,4,4,Female,Female,no high school,college degree,high school diploma,India,Russia,Germany,China,Afghanistan,India,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1126,email,1,2.915,2.915,4.02,1,1,0,1,1,0,3,1,3,10,1,2,11,1,1,1,1,2,1,1,1,2,1,2,36,42,35,48,29,1,1,2,2,3,2,5,2,5,4,1,1,2,Male,Male,no high school,high school diploma,high school diploma,Germany,China,Afghanistan,China,Afghanistan,China,broken English,broken English,no prior conviction,no prior conviction,,
100,881,email,1,7.265,7.265,8.866,1,1,1,1,6,0,2,1,3,1,4,3,4,3,2,2,2,1,1,1,2,2,2,2,100,100,100,100,100,1,3,2,1,5,1,5,5,5,5,2,1,1,Female,Female,college degree,no high school,high school diploma,China,India,Mexico,Afghanistan,Mexico,Afghanistan,fluent English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1262,email,0.899999976,3.02,3.02,4.031,1,1,1,1,1,0,2,1,3,10,3,3,1,1,1,1,1,1,2,2,2,1,2,2,100,100,100,100,100,3,2,2,1,3,1,3,3,4,4,2,1,2,Female,Female,high school diploma,no high school,high school diploma,China,China,Russia,Mexico,China,Mexico,broken English,fluent English,no prior conviction,no prior conviction,,
100,638,email,1,3.589,5.564,6.484,3,1,0,1,2,0,3,1,3,10,3,2,1,4,1,1,1,2,2,2,1,2,1,1,89,100,100,100,100,1,3,2,2,1,3,3,2,2,2,1,1,1,Male,Female,high school diploma,college degree,no high school,Mexico,Mexico,China,Germany,Mexico,Mexico,broken English,fluent English,no prior conviction,no prior conviction,,
100,1105,email,1,7.183,9.091,9.694,4,1,1,1,1,0,3,1,3,1,1,2,8,1,1,2,1,1,1,2,1,2,1,2,50,50,50,50,50,2,2,2,1,1,1,4,2,4,3,4,1,1,Male,Female,no high school,high school diploma,high school diploma,Russia,Mexico,China,Russia,Germany,China,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,789,email,1,0.943,2.685,3.2,3,1,1,1,4,0,3,1,3,10,4,3,9,1,1,2,2,2,2,1,2,1,2,2,0,100,100,100,100,1,1,1,1,5,1,5,1,1,1,1,1,1,Female,Male,college degree,no high school,high school diploma,India,Germany,Russia,India,China,Russia,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,552,email,1,2.01,3.742,5.205,3,1,1,1,4,0,2,1,3,1,3,2,8,1,1,2,2,2,2,2,1,1,2,1,56,76,88,80,76,3,3,2,1,3,2,3,3,3,3,2,3,3,Male,Female,college degree,high school diploma,high school diploma,India,China,Russia,Germany,India,China,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1518,email,1,2.248,3.763,8.761,3,1,1,1,1,0,3,1,3,10,7,5,10,3,1,1,2,1,1,1,1,2,2,1,100,90,90,90,93,2,1,2,2,5,2,4,5,5,5,3,3,5,Female,Male,college degree,high school diploma,no high school,Germany,Germany,Mexico,Germany,Afghanistan,India,fluent English,broken English,no prior conviction,no prior conviction,,
100,4733,email,1,13.604,13.604,14.569,1,1,0,1,4,0,2,2,3,2,5,3,6,3,2,1,2,1,2,2,1,2,2,1,51,52,51,50,60,2,3,2,4,2,2,2,5,5,5,1,4,5,Female,Female,college degree,no high school,high school diploma,Afghanistan,Germany,Afghanistan,India,India,Mexico,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
100,1462,email,0.899999976,4.229,7.006,8.241,4,1,1,1,1,0,3,1,2,1,4,1,4,2,1,1,1,1,1,1,2,2,1,1,50,50,50,50,50,2,4,2,3,2,1,4,2,3,2,2,1,1,Female,Male,no high school,high school diploma,high school diploma,Germany,India,China,Mexico,India,Germany,broken English,fluent English,no prior conviction,no prior conviction,,
100,889,email,1,3.362,3.362,5.001,1,1,0,1,1,0,4,1,2,2,2,2,9,1,2,2,1,1,2,2,2,1,2,2,50,50,50,50,50,1,1,1,3,3,1,5,4,5,5,3,4,4,Female,Female,no high school,no high school,college degree,Germany,Mexico,Russia,Russia,Russia,China,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,955,email,1,3.731,5.086,5.875,2,1,0,1,1,0,3,1,3,10,4,2,11,2,2,1,1,1,1,1,2,2,1,1,50,50,50,50,50,2,2,1,1,3,1,4,3,3,3,2,2,3,Female,Male,high school diploma,high school diploma,high school diploma,Mexico,Mexico,China,China,Mexico,India,fluent English,fluent English,no prior conviction,no prior conviction,,
100,6720,email,1,15.088,23.829,41.417,3,1,1,1,1,0,2,1,3,10,1,2,8,1,2,2,2,1,2,2,1,1,2,2,100,100,100,100,100,1,2,2,2,2,2,3,2,2,2,2,1,1,Male,Male,no high school,college degree,high school diploma,China,Germany,Russia,Afghanistan,China,Russia,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,1481,email,1,6.371,8.422,9.332,2,1,0,1,1,0,3,1,3,10,3,2,11,1,2,2,1,1,2,2,1,1,1,2,60,100,100,100,100,2,2,3,2,3,2,5,3,4,4,4,2,4,Male,Male,high school diploma,high school diploma,high school diploma,Afghanistan,Afghanistan,China,Mexico,China,Mexico,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,1202,email,1,1.381,2.862,3.638,3,1,0,1,1,0,3,1,3,1,4,3,4,3,2,2,2,1,2,2,2,1,2,2,50,50,50,50,50,3,2,2,4,3,4,4,3,4,4,4,3,4,Female,Male,college degree,no high school,high school diploma,Russia,Afghanistan,India,Germany,Germany,Mexico,broken English,broken English,prior conviction (not voting related),no prior conviction,,
100,555,email,1,2.769,2.769,3.713,1,1,0,1,1,0,2,1,2,1,1,2,11,1,1,2,2,1,2,2,2,2,2,2,100,100,100,100,100,2,4,2,1,1,2,5,4,4,4,1,1,1,Male,Male,high school diploma,high school diploma,no high school,Afghanistan,India,India,Afghanistan,India,Mexico,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,2655,email,1,7.17,31.711,32.427,5,1,0,1,1,0,3,1,2,2,4,1,9,1,1,1,1,2,2,1,1,1,2,1,50,100,100,100,90,1,4,1,1,1,1,1,2,2,3,1,1,1,Male,Female,high school diploma,high school diploma,college degree,Germany,Afghanistan,China,Mexico,Germany,Mexico,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,969,email,1,15.179,15.179,16.227,1,1,0,1,1,0,2,1,2,1,3,2,11,1,2,1,2,1,2,1,1,1,1,1,100,100,100,100,91,2,3,2,2,2,1,4,4,4,4,2,2,2,Female,Male,high school diploma,high school diploma,high school diploma,China,Russia,Afghanistan,Mexico,Afghanistan,Germany,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,1253,email,1,2.041,4.431,4.957,3,1,1,1,6,0,2,1,3,1,1,2,11,1,2,2,1,1,2,1,1,1,2,1,50,50,50,50,60,2,3,2,3,2,2,5,5,4,4,2,1,1,Male,Female,high school diploma,no high school,college degree,Mexico,Russia,Russia,Afghanistan,Germany,Russia,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1119,email,0.899999976,7.617,9.016,9.955,2,1,0,1,1,0,2,1,2,2,1,2,8,1,1,2,1,2,1,2,2,2,1,2,100,100,100,100,100,3,4,3,1,1,1,4,2,5,4,1,1,1,Female,Female,college degree,high school diploma,college degree,Germany,India,India,Russia,Mexico,Germany,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,10969,email,1,1.25,3.037,15.638,4,1,0,1,1,0,3,1,3,1,1,1,1,3,2,2,2,1,1,2,1,1,1,1,100,100,100,100,100,2,4,2,1,1,1,4,3,4,3,1,1,1,Male,Female,no high school,high school diploma,high school diploma,Russia,Russia,Russia,China,India,China,broken English,fluent English,no prior conviction,no prior conviction,,
100,11768,email,1,1.158,3.829,5.014,3,1,0,1,2,0,2,1,3,1,3,2,1,4,1,2,2,1,2,2,2,2,2,2,19,100,94,50,80,1,4,3,3,1,1,5,5,5,5,2,2,2,Male,Female,high school diploma,high school diploma,no high school,China,Afghanistan,Afghanistan,China,Russia,Germany,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,3227,email,1,10.956,10.956,12.201,1,1,1,1,4,0,2,1,3,10,1,1,9,1,2,2,2,2,1,2,1,1,1,2,66,88,88,88,82,1,4,2,2,2,2,3,4,5,4,1,2,1,Female,Male,college degree,no high school,high school diploma,India,Afghanistan,Germany,China,Germany,Afghanistan,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1468,email,1,26.168,26.168,27.276,1,1,0,1,1,0,3,1,3,10,1,2,8,1,1,2,1,1,1,2,1,2,2,2,86,100,100,100,100,3,4,2,1,3,3,4,2,5,5,1,2,2,Female,Female,high school diploma,no high school,high school diploma,China,China,India,Russia,Russia,Mexico,fluent English,broken English,prior conviction (not voting related),no prior conviction,,
100,1121,email,1,9.002,13.518,14.105,4,1,0,1,1,0,3,1,3,1,6,4,2,2,2,1,2,1,1,2,2,1,2,2,90,92,94,78,93,2,3,2,3,4,4,3,3,4,3,4,3,2,Male,Female,college degree,college degree,no high school,India,Mexico,India,India,Afghanistan,Mexico,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1636,email,0.899999976,44.967,44.967,46.14,1,1,0,1,1,0,4,1,3,1,3,2,2,3,2,1,1,2,2,2,1,1,2,2,80,77,75,77,77,3,3,2,2,3,1,3,3,4,3,2,1,2,Female,Male,college degree,no high school,high school diploma,Germany,India,Mexico,China,Russia,Afghanistan,fluent English,fluent English,no prior conviction,no prior conviction,,
100,1377,email,1,13.997,13.997,16.239,1,1,0,1,1,0,3,1,3,10,1,1,8,1,1,2,2,1,1,1,1,2,1,2,100,100,100,100,100,1,1,2,2,2,1,3,4,3,5,1,1,1,Female,Female,college degree,high school diploma,college degree,Afghanistan,Afghanistan,Russia,Afghanistan,Germany,China,fluent English,broken English,no prior conviction,no prior conviction,,
100,788,email,0.899999976,0.78,2.063,2.898,3,1,1,1,1,0,5,1,3,10,3,3,9,1,1,2,1,1,1,2,2,1,1,2,100,100,100,100,100,2,5,2,1,2,1,3,2,4,1,1,1,1,Female,Female,high school diploma,high school diploma,no high school,India,Germany,Russia,Afghanistan,China,Afghanistan,fluent English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,1594,email,1,1.299,1.299,2.22,1,1,0,1,1,0,2,1,3,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,95,96,96,95,95,3,4,4,2,3,2,3,2,4,4,1,2,2,Male,Male,college degree,no high school,high school diploma,Germany,Russia,Russia,Mexico,China,India,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,8384,email,1,1.362,3.917,4.682,4,1,0,1,2,0,3,1,2,1,1,1,10,2,1,1,2,2,1,2,2,2,2,1,51,74,78,73,92,2,4,3,1,2,1,3,2,3,2,2,1,1,Male,Female,college degree,college degree,no high school,Russia,Germany,Germany,India,Germany,Afghanistan,broken English,fluent English,prior conviction (not voting related),no prior conviction,,
100,740,email,1,0.848,2.058,2.74,3,1,0,1,2,0,3,1,3,1,1,2,11,2,1,1,2,2,2,2,2,2,2,2,100,100,100,100,80,5,1,5,1,2,1,2,5,5,5,2,5,5,Male,Male,high school diploma,no high school,college degree,Mexico,Afghanistan,China,Germany,India,Russia,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,705,email,1,15.033,16.119,17.06,3,1,0,1,1,0,5,1,2,1,4,2,9,1,2,1,1,1,2,1,2,2,2,1,75,100,100,100,100,2,3,2,2,1,3,5,2,5,5,5,5,4,Female,Male,college degree,no high school,college degree,Germany,India,China,China,India,India,broken English,broken English,no prior conviction,prior conviction (not voting related),,
100,12432,email,1,3.996,3.996,21.305,1,1,0,1,4,0,2,1,2,2,3,2,11,1,1,2,1,2,2,1,1,1,1,1,100,100,100,100,100,1,3,2,2,1,1,3,3,5,4,2,2,2,Male,Female,no high school,no high school,high school diploma,Afghanistan,Afghanistan,Mexico,Germany,India,Mexico,broken English,fluent English,prior conviction (not voting related),prior conviction (not voting related),,
100,6024,email,0.899999976,2.871,3.191,4.391,2,1,1,1,1,0,2,1,3,10,6,3,11,1,2,1,2,2,2,1,1,2,2,2,50,50,50,50,50,2,3,2,3,5,3,4,3,5,5,4,2,3,Male,Male,no high school,college degree,no high school,Mexico,Germany,India,Mexico,China,Germany,fluent English,fluent English,prior conviction (not voting related),no prior conviction,,
100,1988,email,1,6.612,6.612,7.786,1,1,1,1,1,0,3,1,3,1,5,3,2,2,1,1,1,1,2,1,1,1,2,1,91,27,53,61,40,2,4,2,3,4,2,2,3,5,4,4,4,3,Female,Female,college degree,college degree,college degree,Russia,India,Germany,India,Afghanistan,Afghanistan,broken English,broken English,no prior conviction,no prior conviction,,
100,25667,email,1,4.94,9.233,10.094,4,1,1,1,1,0,2,1,7,1,1,1,9,1,1,1,2,2,2,1,1,1,2,2,50,50,50,50,50,3,2,2,3,4,1,5,2,5,4,1,1,1,Female,Female,high school diploma,college degree,high school diploma,Afghanistan,Germany,Russia,Mexico,Germany,China,fluent English,fluent English,no prior conviction,no prior conviction,,
100,1527,email,0.800000012,1.964,3.49,4.153,3,1,1,1,1,0,3,1,3,10,4,3,11,1,1,2,2,1,1,1,1,2,2,1,100,100,100,100,100,2,2,3,3,4,2,4,4,5,3,4,4,4,Male,Female,no high school,college degree,high school diploma,China,Afghanistan,Russia,China,India,Afghanistan,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,17293,email,0.800000012,1.136,6.253,6.785,5,1,0,1,1,0,3,1,3,10,3,3,11,1,2,2,2,2,2,2,2,1,2,2,100,100,100,100,100,4,5,3,3,3,1,2,1,2,4,2,1,1,Male,Female,college degree,high school diploma,no high school,India,Afghanistan,India,Mexico,Afghanistan,India,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,895,email,0.899999976,2.798,2.798,4.181,1,1,1,2,1,0,3,1,1,4,2,2,8,1,1,1,1,2,2,1,2,1,2,2,50,86,85,86,85,2,2,2,1,1,1,3,3,2,2,2,1,1,Male,Male,high school diploma,college degree,college degree,Germany,Russia,India,Germany,China,Germany,broken English,fluent English,no prior conviction,prior conviction (not voting related),,
100,2804,email,1,17.732,17.732,18.492,1,1,1,1,1,0,2,1,3,1,2,2,10,4,2,1,2,1,1,2,2,1,2,1,80,80,80,80,80,2,3,3,1,2,3,4,2,2,2,1,1,1,Female,Male,no high school,no high school,college degree,Russia,Russia,Afghanistan,Germany,Russia,Germany,fluent English,broken English,no prior conviction,prior conviction (not voting related),,
