"Duration..in.seconds.","Finished","consent","state","gender","age","pid7","employment_status","employment_type","income","educ","ideo5","race","race_commitment","citizenship","american_commitment","other_commitment","expert_mistrust1","expert_mistrust2","attention_check1","authoritarianism1","authoritarianism2","authoritarianism3","authoritarianism4","ethnocentrism_1","ethnocentrism_2","ethnocentrism_3","ethnocentrism_4","ethnocentrism_5","ethnocentrism_6","stereotype_lazy_1","stereotype_lazy_2","stereotype_lazy_3","stereotype_lazy_4","stereotype_lazy_5","stereotype_lazy_6","stereotype_violent_1","stereotype_violent_2","stereotype_violent_3","stereotype_violent_4","stereotype_violent_5","stereotype_violent_6","stereotype_unintelli_1","stereotype_unintelli_2","stereotype_unintelli_3","stereotype_unintelli_4","stereotype_unintelli_5","stereotype_unintelli_6","egalitarianism1","egalitarianism2","egalitarianism3","attention_check2","monitor1","monitor2","monitor3","anti.elitism1","anti.elitism2","anti.elitism3","attention_check3","mcheck_open","mcheck_closed","persuasion_check","threat_check","diversity1","diversity2","diversity3","diversity4","diversity5","diversity6","MC_cultural1","MC_cultural2","MC_cultural3","MC_cultural4","MC_social1","MC_social2","MC_social3","MC_social4","MC_diversitycons1","MC_diversitycons2","MC_diversitycons3","MC_diversitycons4","MC_equity1","MC_equity2","MC_equity3","MC_equity4","open_ended","respondent_reaction","exp_condition"
854,1,1,33,1,2,3,1,1,6,5,3,2,3,1,2,NA,2,3,72,0,0,0,0,50,80,50,50,50,60,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,2,4,5,2,5,"Adélie penguins are the shortest penguins found in the Antarctic. They were discovered by a French explorer. Their eyes especially make them stand out.",4,4,1,2,1,1,1,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,4,4,"I think I care more about the socioeconomic backgrounds of the people in the community rather than racial backgrounds. I think I'd feel comfortable living in any community where people are middle class and above.","I don't know that much about penguins in the Antarctic, so I found the commentary pretty informative. I don't know what penguins have anything to do with the rest of this survey, though.","Control"
665,1,1,33,1,2,4,1,1,5,6,3,2,5,1,5,NA,3,2,72,1,1,1,1,100,100,100,100,100,0,7,7,3,5,4,4,1,1,7,4,1,4,1,1,3,2,4,4,5,3,5,1,1,1,1,3,3,1,5,"its essentially saying that we will become diverse enough that everyone will be similar. We should not ignore these items",3,1,1,5,3,5,1,5,3,2,3,3,5,3,5,1,5,1,3,3,3,3,3,3,3,"I think it would be ideal and nice as it helps folks adjust and work better","No specific reaction to it.","TreatmentA-SoftSell"
643,1,1,5,1,2,4,2,1,2,5,3,2,3,1,2,NA,2,3,72,0,0,0,1,40,50,10,20,30,70,6,4,2,5,3,6,5,3,6,4,3,2,4,3,6,2,5,2,3,4,2,1,3,3,2,4,2,3,5,"How racial diversity benefits society as a whole.",3,2,2,2,2,2,3,3,4,3,2,4,2,4,3,2,3,3,2,2,3,2,2,2,2,"","","TreatmentC-ProDiversity"
788,1,1,11,1,1,5,5,NA,5,3,4,2,3,1,4,NA,4,3,72,1,0,1,0,50,60,50,50,50,40,4,2,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,2,2,1,2,3,2,3,4,2,5,"The key points were that racial diversity is a failed experiment that creates clear winners and losers. Diversity grows more with immigration. Policies addressing them make it worse.",2,2,1,3,3,2,4,4,3,2,2,2,3,2,3,2,4,2,3,4,4,4,4,4,4,"I don't really have any feelings towards this probably not as cool but doesn't matter.","I thought it was interesting.","TreatmentB-HardSell"
821,1,1,34,1,3,2,1,0,4,5,2,2,5,1,5,NA,2,4,72,0,1,0,0,70,100,80,80,80,80,2,1,3,3,4,2,5,1,5,3,1,3,3,1,3,2,3,3,2,4,1,1,1,3,2,4,1,2,5,"It was about Adele penguins mainly",4,3,1,3,2,2,1,4,3,1,1,2,2,1,1,1,1,1,1,1,2,4,2,2,2,"It would definitely be nice ,but not realistic at least not for my ethnic group ","Unrealistic ","Control"
712,1,1,36,1,2,3,1,1,5,5,2,2,3,1,2,NA,2,2,72,0,1,0,1,50,70,40,40,60,70,2,2,4,3,4,2,3,2,5,3,2,2,3,1,5,4,4,4,2,2,2,1,2,3,3,2,4,4,5,"Adélie penguins were found in 1840 by a French explorer. He named them after his wife, Adèle. They are the smallest penguins in Antarctica. They are about 70 cm tall and weigh 3 to 8 kg. Their heads, backs, and throats are black. Their bellies are white. They have white circles around their black eyes.",4,4,1,2,2,1,2,4,4,2,1,3,2,4,3,2,2,2,3,2,2,2,2,3,3,"Living in a community where most people share similar racial backgrounds could foster a strong sense of cultural cohesion and mutual understanding. However, it may also limit opportunities for exposure to diverse viewpoints, potentially hindering personal growth and social integration with different communities.","My reaction to the commentary was neutral. It presented factual information about Adélie penguins in a clear and concise manner. While the content was informative, it did not evoke a strong emotional response from me","Control"
854,1,1,33,1,2,6,1,0,2,3,4,2,5,1,2,NA,2,4,72,0,0,0,1,20,70,0,20,30,40,3,1,7,3,3,1,1,1,7,5,3,2,3,1,7,2,3,3,1,3,4,1,2,2,1,5,1,5,5,"a explorer named a new penguin ygoscelis adeliae it's smallest penguin.",4,3,3,5,1,2,1,2,4,1,2,2,1,5,1,1,2,4,2,2,1,1,1,1,2,"very good for me. a lot of new stuff never see before.","","Control"
869,1,1,39,1,3,4,1,1,3,5,3,2,5,1,1,NA,3,5,72,0,1,0,0,40,50,20,40,40,30,3,2,6,4,5,4,4,2,7,5,5,5,4,2,6,3,5,5,3,1,3,1,4,3,3,5,5,5,5,"Diversity is a fail talking point. With immigration, it make diversity moot, since society will continue to be diverse. ",3,4,1,1,1,1,3,5,3,1,1,3,1,5,3,3,3,3,4,3,5,5,3,5,3,"At peace. I would feel more safe. I like and value a homogenous society. People who are not divisive and try not to antagonize others. There would be a feeling of community and a level of high trust among each other, that I often feel with people who are similar to my racial background. ","It make sense. A welcome perspective from the other trite commentary we see from media and news publications.","TreatmentB-HardSell"
738,1,1,46,1,2,5,1,1,5,5,4,2,4,1,4,NA,2,5,72,1,0,1,0,10,100,60,80,50,50,3,1,6,3,3,2,5,1,6,1,2,4,5,1,6,3,4,5,2,4,4,1,2,3,2,2,4,4,5,"Equality of all people makes us better society. And immigration of this.",3,3,1,2,2,2,2,5,4,2,2,3,2,2,2,4,3,2,2,4,4,2,2,1,2,"It would be fine because you would have a lot to talk about ","A lot of eauality","TreatmentC-ProDiversity"
824,1,1,5,1,2,4,1,1,5,5,3,2,5,1,2,NA,1,4,72,1,1,0,1,60,100,30,50,50,30,2,1,6,5,7,2,2,1,7,6,3,3,2,1,7,5,7,4,5,4,4,1,1,2,3,5,5,5,5,"I read about Adelie penguins which were discovered by the French in 1840.  They are known as the smallest penguin in the antarctic, standing only about 28 inchess tall and weighing roughly 6 to 18 lbs.  They have a unique look to them that makes them look like a cartoon character.",4,5,1,2,2,1,2,1,4,2,1,3,1,2,2,1,2,5,5,5,4,2,2,2,2,"I really like that idea.  Personally, I would prefer to be in a community where most of my neighbors and the people in the community are from the same racial background as I am.  I'd definitely feel a lot more comfortable and a more cohesive sense of community.","My reaction to the commentary I read about the Penguins was that I was intrigued.  It seems like an interesting topic that I'd like to read more into! However, I did wonder the relevance of it to the study.","Control"
711,1,1,3,1,1,4,1,1,5,5,3,2,4,1,3,NA,2,4,46,1,1,0,0,60,90,60,80,70,50,2,1,3,2,3,2,5,2,6,4,4,5,3,1,3,2,3,3,4,4,2,1,2,1,2,5,4,5,5,"Diversity is a key part of advancing society, as we are able to collect several diverse perspectives and opinions, leading to a more productive way to success.",3,2,1,3,2,2,1,5,4,1,1,3,2,4,4,2,3,4,2,2,3,4,4,5,4,"","","TreatmentC-ProDiversity"
498,1,1,39,0,2,1,1,1,4,7,1,2,4,1,3,NA,2,3,72,0,0,0,0,80,90,80,50,90,90,4,5,5,4,6,6,4,4,4,4,4,4,5,5,5,5,5,6,1,1,1,1,2,3,2,2,5,3,5,"Blending other groups into a home group is disadvantageous. Groups should stay segregated. ",1,1,4,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,"I think it would be too homogenous and there would not be as much progression of ideas and changes to lifestyle for the better.","I think the argument was vague and weak without proof to back it up. I also strongly disagreed with the overall point made.","TreatmentA-SoftSell"
878,1,1,14,1,2,2,3,NA,3,5,2,2,3,1,3,NA,2,3,72,0,0,0,0,50,80,50,50,50,60,3,2,5,4,4,4,3,2,5,5,1,5,3,2,4,4,2,4,1,3,2,1,1,2,1,2,3,2,5,"Having diversity is key to a more successful society. Diversity allows various perspectives to be heard and understood. ",3,3,1,2,2,2,1,4,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,"Well that is pretty easy to answer. I live in Chicago and we're a city full of immigrants. Being a son of immigrants, it was easy to get along with other immigrants in my community. I can see that my city is going to keep being a city for immigrants and that I would be more than happy if it stayed that way.","I thought it was a pretty good read, and I completely understood where they were coming from. I would consider reading more on what they have to say about other political issues in the states.","TreatmentC-ProDiversity"
982,1,1,11,1,3,2,1,1,3,5,2,2,3,1,3,NA,1,3,72,0,0,0,0,70,50,60,40,60,50,2,2,5,4,3,2,3,1,6,5,4,3,3,1,5,4,6,5,2,1,2,1,1,2,1,4,4,4,5,"Racial diversity is a failed experiment because peoples own lives are what really determine their opportunities. It is better if groups lived among themselves to thrive in their own societies.",2,1,3,1,2,1,1,3,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,"I am fine with it but the only issue would be that I would be lectured by the elders and told that I should act a certain way and not try and be like people out side of my racial background. There would be too much emphasis to preserve and it could be some what stifling.","I think it is wrong and one minded. It makes no sense as a lot of American culture is shaped by different cultures. Especially in foods and overall experience. It is silly to say that groups should just live in isolation as there are experiences that everyone should be able to have and be curious about.","TreatmentB-HardSell"
753,1,1,23,0,4,4,3,NA,1,5,3,4,4,1,3,NA,2,2,72,0,0,0,0,70,90,80,70,90,80,1,1,1,1,1,1,5,4,5,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,"I believe the speaker believes in eugenics; that certain groups have natural tendencies towards some behaviors. They word it as abilities, but the rest of the paragraph is really pointing towards behaviors. They believe in isolation vs integration of other groups into their society.",2,1,1,1,1,1,1,1,1,2,1,4,3,1,1,1,2,2,4,3,1,1,1,1,1,"Living in a community where we share similar racial backgrounds creates a bubble around your environment. You tend to follow group-think and your minds closes up to other people outside of the bubble.","I had a negative reaction to it. It is very much coded language for eugenics. It may not seem that dire, but it is the root of these beliefs.","TreatmentA-SoftSell"
582,1,1,49,0,6,7,2,1,1,6,5,3,5,1,5,NA,5,5,53,1,1,1,1,40,50,50,60,70,40,3,3,3,3,5,5,3,3,3,4,4,4,4,4,4,4,4,4,5,5,1,1,5,1,1,1,5,5,1,"The political system",3,1,1,1,1,1,1,5,5,1,5,5,1,5,1,5,1,5,4,2,2,2,4,2,4,"Very nice","Proud","TreatmentA-SoftSell"
1079,1,1,45,1,5,3,1,1,5,6,3,2,3,1,3,NA,2,4,72,1,0,0,0,50,50,50,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,4,3,5,"I read a summation of the Adelie penguins discovered by French explorer d'Urville. d'Urville named the penguins after his wife Adele. The penguins are short in stature standing 70cm and weighing between 3-8kg. The penguins are characterized by a black head, next and face with white circles around the eyes that  stands out from their dark irises. The character Pingu is very representative of the Adelie penguins appearance.",4,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1,"I think that situation already exists in America. I feel it is not ideal however and living in more diverse environments is a better situation.","As a visible minority, my reaction was nothing out of the ordinary.","Control"
825,1,1,15,1,5,1,1,1,5,3,2,2,4,1,4,NA,2,5,72,1,0,1,0,50,100,80,80,50,50,3,1,3,3,3,2,2,1,3,3,1,4,1,1,1,1,1,2,1,4,1,1,1,1,2,5,5,4,5,"The smallest penguins are located in Antarctica. They have black heads and necks with white feathers. ",4,4,1,5,1,1,1,4,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,"I do not have a problem with living in a community with similar racial backgrounds. As long as they are stand-up citizens and don't bring a bad element to the community, they can be any nationality they want.","I didn't know that about penguins.","Control"
829,1,1,44,1,1,6,2,0,1,5,4,3,5,1,5,NA,1,2,72,0,0,0,1,90,90,100,80,70,80,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,2,2,4,4,5,"The commentary suggests that people of different races function better in specific situations suited for each group. It claims that people should remain in their native areas and increase their likelihood of thriving.",1,1,5,1,1,1,1,2,2,1,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,"Not so good because I would prefer some diversity.","Shock that anyone would have such opinions.","TreatmentA-SoftSell"
617,1,1,24,0,3,2,3,NA,4,6,2,4,4,1,3,NA,2,4,72,1,0,1,1,90,100,90,70,100,90,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,2,1,2,4,5,2,5,"The key points to me were that diversity makes life fairer and allows people to grow through learning about new ways of life and cultures. Society should be inclusive and diverse and immigration supports this. ",3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,"I feel that it is like living in a box. I’m sure it would feel good to be around people with similar values and culture but it breeds closed-minded people. ","I agreed with it and thought more people should see it. ","TreatmentC-ProDiversity"
423,1,1,45,0,2,4,2,NA,7,5,2,2,4,1,2,NA,3,3,72,1,0,1,0,90,90,90,40,90,90,2,2,2,2,2,1,2,2,2,6,1,2,2,1,2,3,2,2,1,1,1,1,1,3,3,5,4,4,5,"The author believes that attempts at racial equality have been counterproductive, and that races should stick to their own separate ethnostates, as immigration is causing an increase in racial diversity.",2,1,5,1,2,1,1,4,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,"Positively","Disgust & horror","TreatmentB-HardSell"
812,1,1,5,1,2,4,1,1,5,5,3,2,3,1,3,NA,1,3,72,0,0,0,0,40,50,30,40,30,50,3,5,1,4,5,5,6,3,6,3,3,2,3,5,2,3,2,3,4,2,4,1,2,5,3,4,4,4,5,"It was about how diversity can be beneficial for companies by offering diverse perspectives. It focused on why it's valuable to have diverse group members ",3,2,1,2,2,2,2,2,4,2,2,3,2,3,2,2,2,2,3,3,4,3,3,3,3,"","","TreatmentC-ProDiversity"
1002,1,1,5,1,3,2,2,0,1,6,2,2,4,1,3,NA,2,4,72,0,0,0,0,70,100,80,30,80,70,3,1,3,5,3,2,5,5,5,6,3,5,3,1,3,3,2,3,1,1,2,1,3,1,2,5,2,4,5,"Racial inequality is real, but anti-discrimination practices and restorative measures have made things worse by assuming we all need the same things. Focus on what is distinctive about different communities and allow them to thrive in their special strengths and abilities.",1,2,2,1,2,1,1,2,4,1,1,1,1,1,1,1,2,4,3,2,1,2,2,4,3,"I think it matters whether I am part of that racial background or not. It can be incredibly valuable to feel at home somewhere, such as, for me, having a Chinatown in a major city. Yet it is also good to experience people from different communities, as it enriches one's own life.","Hard to say whether it was going to be racist or segregationist (in a problematic way) from the little snippet. I'd need to know more about the author's intent and where they are going with it. In general, however, I do support the idea of letting different ways of life thrive and protecting that. I am saddened by dying languages.","TreatmentA-SoftSell"
1103,1,1,6,1,4,7,1,NA,6,5,2,3,5,1,5,NA,1,5,72,1,1,1,1,50,70,90,10,50,50,4,1,1,1,7,2,7,2,1,1,5,4,6,2,1,4,4,1,1,2,1,1,5,3,5,5,5,5,5,"Diversity and inclusive of various cultures",3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,"It would be great","Very positive","TreatmentC-ProDiversity"
886,1,1,5,0,1,2,5,NA,6,4,2,2,2,1,3,NA,3,2,72,1,0,1,0,50,60,50,50,50,60,5,5,5,5,5,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,3,2,2,4,4,3,5,"The commentary centers Adele penguins, which were discovered and named by a Frenchman. Adele penguins resemble the character Pingu. ",4,2,1,1,1,2,1,3,2,2,1,3,2,2,2,1,2,2,1,2,2,1,1,1,1,"","","Control"
869,1,1,33,0,3,7,1,0,5,6,4,7,4,1,4,NA,3,3,72,0,0,0,1,80,80,80,80,80,90,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,6,6,6,3,3,3,1,3,4,2,3,3,2,5,"Adélie penguins were discovered in 1840 by a French explorer who named them after his wife. They are the smallest penguins in Antarctica, measuring about 70cm tall and weighing between 3 to 8 kilograms. These penguins have black feathers on their head, back, and throat, with white bellies. One of their most distinctive features is the white ring around their black eyes, which gives them a cartoon-like appearance.",4,3,3,3,1,3,4,4,3,3,4,4,3,4,2,3,2,4,4,2,2,3,3,2,4,"I believe diversity in a community offers richer cultural experiences, broader perspectives, and opportunities for greater understanding among people. While living in a racially homogeneous community may offer some level of comfort or familiarity for some, I think a diverse environment encourages inclusivity, empathy, and growth.","The commentary about Adélie penguins was interesting and informative. I enjoyed learning about their physical characteristics and the history behind their name. The detail about their white eye rings resembling a cartoon character added a lighthearted and memorable touch.","Control"
1110,1,1,5,1,2,1,3,NA,3,5,1,2,4,1,4,NA,1,4,72,1,1,1,0,40,80,60,70,70,70,3,2,2,5,4,1,2,1,5,3,2,3,5,1,5,2,5,5,1,2,2,1,4,4,1,1,3,4,5,"Diversity is a failed experiment where outsiders come in and replace our way of life with their own.  In order to preserve what's left of culture people should be organized into separate ethno-states.",2,1,2,1,1,1,1,1,1,3,1,3,4,2,1,1,1,4,1,2,3,1,1,1,1,"If it's a natural occurrence I don't think there's any harm in that.  However, if such communities were forcefully put together through racial segregation and intolerance to other human beings then that becomes a problem.","It sounded like the sort of extremist right wing racial views I've come to easily dismiss.  When I see commentary discuss intolerance for other cultures I label it as such and feel like they've invalidated their own arguments through ignorance.","TreatmentB-HardSell"
658,1,1,31,1,3,6,1,1,6,5,4,2,4,1,5,NA,2,3,72,0,0,0,0,50,80,50,50,80,50,3,2,3,1,4,2,5,2,6,5,3,4,2,1,3,2,4,4,5,3,1,1,1,2,2,4,4,2,5,"The opinion of the writer seems to allude to a voice heard and conversation being heard is equivalent to being open to diversity and inclusion.   If you don't listen to the conversation, it shuts down the option of equal opportunity. ",3,1,1,3,5,1,2,3,4,2,2,3,4,3,4,1,3,4,3,4,3,2,2,3,1,"As long as they are hear legally.   I don't mind.  Growing up in NYC has made me feel at home with cultural diversity.   But as long as they are hear legally. ","Morality built into a civic responsibility is wrong. ","TreatmentC-ProDiversity"
1143,1,1,14,1,2,3,3,NA,2,5,2,2,4,1,2,NA,2,2,46,0,0,1,0,30,90,60,70,50,100,4,3,6,5,6,3,5,2,6,3,2,4,3,3,6,5,5,6,2,2,2,1,1,2,3,2,3,4,5,"We are better overall if we divide the country into separate community. The country will be better if we can all the racial ethnicity doesnt interact with each other as there will be less conflicts. ",3,3,3,2,2,2,1,3,3,1,1,2,2,3,2,1,2,4,2,1,3,1,2,4,3,"I think it could feel very comforting when living in a community that shate a racial background where you know thr people in your community. But that could lead to an isolated views on society. I think sometimes you need to expand your view on society by interacting with different racial backgrounds.","I kinda disagree with the commentary as the US was build by so many immigrants with many diverse background. The US has been able to coexist with so many ethnicity for so long and i dont see the need to change that.","TreatmentA-SoftSell"
1276,1,1,14,0,1,1,3,1,3,5,2,2,5,1,3,NA,5,5,56,0,0,0,0,50,90,60,40,60,70,2,2,2,3,2,1,4,3,2,5,2,3,3,2,3,3,3,2,2,2,1,1,2,2,2,5,4,2,5,"This paragraph is about penguins. The specific penguins are the smallest antarctic breed. They have white feathers and their distinguishing features are the white rings around their eyes.",4,4,1,2,2,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,2,4,2,4,4,"I grew up in an ethinic diverse neighborhood and I strongly believe that it is what made me who I am. Growing up with diversity helps you understand other perspectives, and learn to compromise and learn from others much earlier. I really would not want to live in a community with only one racial background.","The penguins sound cute!","Control"
